model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.06098,0.01588,0.00229,0.31143,0.0045465682774303625,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.17765,0.076,0.2927,0.31775,0.3047110328441237,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.31064,0.18866,0.41791,0.29994,0.34923152580574046,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.27987,0.15643,0.44275,0.26854,0.3343111389161463,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.26499,0.15591,0.2539,0.37874,0.3040025480521244,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.38208,0.2409,0.29502,0.47832,0.3649467670101573,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.22029,0.10573,0.17447,0.35517,0.23399482629666565,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.45599,0.25707,0.44296,0.5535,0.4920987495729963,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.40266,0.24873,0.31547,0.5122,0.39045449031571705,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.44996,0.28371,0.35615,0.56914,0.43813120427061997,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.47978,0.28622,0.34885,0.55947,0.42974086114978227,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.45697,0.28227,0.43888,0.54046,0.4844019131246713,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.49713,0.29381,0.44923,0.54363,0.4919422776620148,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.5375,0.32947,0.45012,0.57652,0.5055388108777122,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.49149,0.29401,0.47052,0.57977,0.5194629681321165,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.424,0.24548,0.40342,0.51386,0.45199154282176435,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.53819,0.33459,0.43916,0.6277,0.5167702078993337,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.32535,0.18508,0.27677,0.38133,0.3207436684389595,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.51991,0.29652,0.46437,0.57491,0.513761366907365,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.48058,0.31034,0.42862,0.54839,0.4811637993464948,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.44595,0.26413,0.44397,0.547,0.4901290452783736,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.58958,0.3668,0.55618,0.66675,0.6064664616939592,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.50802,0.32058,0.48261,0.53975,0.5095832143271356,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.6002,0.37516,0.52361,0.60311,0.5605552880923738,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.62546,0.3843,0.59601,0.6495,0.6216064021961915,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.59385,0.37364,0.58756,0.60263,0.5949995930056587,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.58845,0.37412,0.53836,0.61906,0.5758966349289143,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.59633,0.36495,0.5649,0.63714,0.5988492662468812,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.56197,0.34692,0.52755,0.64692,0.5811687757025883,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.62447,0.3873,0.58664,0.67724,0.628692713864743,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.57884,0.35215,0.55098,0.65934,0.6003092623433469,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.59955,0.37427,0.57781,0.62703,0.6014146348057822,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.63585,0.38891,0.60727,0.6659,0.6352350322418568,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.6026,0.37111,0.55665,0.60869,0.5815080379969951,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.63853,0.39135,0.60022,0.64704,0.6227512287729721,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.58259,0.36551,0.59872,0.60228,0.6004947237297248,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.58079,0.34818,0.57237,0.61854,0.5945600251903211,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.65865,0.40386,0.59529,0.70152,0.644054010687268,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.64583,0.39986,0.60036,0.66785,0.6323092011570384,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.66045,0.39859,0.6527,0.63252,0.6424515709367715,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.66657,0.41371,0.71398,0.60254,0.6535434466619165,25939700,79.383104,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
