model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.06967,0.02075,0.69882,0.04429,0.08330055523397169,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.19951,0.09514,0.3755,0.31933,0.34514461091152493,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.1654,0.08451,0.80998,0.11208,0.19691247510986606,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.27307,0.15169,0.559,0.26149,0.356306377895701,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.26934,0.15514,0.25705,0.37569,0.3052473828107829,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.3754,0.22406,0.3965,0.36691,0.3811315413730746,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.33738,0.20524,0.36742,0.37577,0.37154809241193837,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.4826,0.27353,0.42063,0.5957,0.49308647978462405,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.48282,0.29108,0.43846,0.54548,0.4861498888138645,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.26196,0.14936,0.33227,0.37533,0.3524898222154431,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.39744,0.25442,0.28714,0.49405,0.3631933767708711,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.45278,0.26899,0.3781,0.47444,0.4208266216242982,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.48806,0.26658,0.43017,0.59244,0.49843032006287974,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.5519,0.32743,0.50359,0.58153,0.5397609346426756,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.54284,0.30885,0.51876,0.58818,0.5512932169760318,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.24375,0.11725,0.32984,0.32942,0.3296298662131335,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.45853,0.27592,0.39299,0.57508,0.46690980858773967,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.51766,0.29537,0.53829,0.5292,0.533706297950769,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.53588,0.32111,0.49616,0.55492,0.5238975286367127,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.46832,0.29759,0.44509,0.54417,0.48966828801276746,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.57605,0.35019,0.541,0.59742,0.5678119147585532,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.56959,0.3569,0.53287,0.61168,0.5695616995320697,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.4691,0.29214,0.48587,0.48942,0.4876385391006905,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.57561,0.35806,0.56118,0.60177,0.5807666513602643,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.52513,0.31409,0.46416,0.53215,0.49583511959079424,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.5662,0.34974,0.53397,0.58121,0.5565894361443383,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.64297,0.39913,0.5989,0.64861,0.6227645934696933,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.54019,0.32965,0.54015,0.59966,0.5683514778773933,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.61097,0.36681,0.57753,0.62545,0.6005355675068574,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.56443,0.3575,0.58308,0.60996,0.5962171876880941,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.59395,0.36158,0.59681,0.59564,0.5962244260131692,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.64609,0.4089,0.61069,0.6543,0.6317432817645737,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.61451,0.37649,0.56415,0.61332,0.5877083543524779,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.58202,0.36038,0.52309,0.5959,0.5571262138173199,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.66175,0.41957,0.67359,0.63012,0.6511302832680187,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.5985,0.37506,0.57486,0.68342,0.6244569113387923,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.63155,0.40002,0.62055,0.638,0.6291540264585204,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.66529,0.41387,0.62015,0.67184,0.6449609919576428,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.65689,0.40002,0.60329,0.67,0.6348974703322614,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.64238,0.38723,0.66014,0.61811,0.6384340080573921,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
