model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.08128,0.02742,0.45841,0.08998,0.1504321078062138,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.22628,0.0978,0.18367,0.38105,0.24786603449453207,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.22117,0.12088,0.39861,0.20814,0.27347897948038985,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.1203,0.07454,0.59576,0.12661,0.2088380569511347,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.43766,0.2412,0.32199,0.50514,0.3932877022954151,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.32325,0.18707,0.30283,0.47031,0.3684299798220654,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.28018,0.161,0.33431,0.31532,0.32453744192798284,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.4633,0.25408,0.4589,0.58481,0.5142603002744879,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.48009,0.28117,0.49865,0.51768,0.5079868389199296,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.43781,0.27876,0.38722,0.5355,0.4494457907052525,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.47527,0.29495,0.42504,0.58994,0.4940946572341385,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.40521,0.25067,0.43238,0.45548,0.443629496541748,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.42973,0.26358,0.38326,0.51569,0.43972045030264234,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.55415,0.32692,0.54232,0.62144,0.5791904530138695,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.53582,0.3133,0.51322,0.56411,0.5374630506896332,25903024,79.4727424,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
