model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.057,0.01836,0.00605,0.43336,0.011933401606672736,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.21901,0.09823,0.62794,0.30808,0.41335816585071544,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.11135,0.06123,0.49253,0.13045,0.20626838261227284,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.37259,0.21562,0.39453,0.41182,0.40298963130104426,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.34336,0.20649,0.32608,0.51896,0.4005076133669406,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.42739,0.25467,0.38816,0.48641,0.43176625221488074,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.35474,0.20837,0.32847,0.44515,0.3780109627460795,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.32371,0.16823,0.37047,0.36931,0.36988909053993096,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.3657,0.21821,0.37252,0.43223,0.40015984989077336,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.50577,0.29873,0.45062,0.52686,0.48576677415345,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.3919,0.24076,0.248,0.4919,0.329750506824801,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.52003,0.32628,0.48539,0.61748,0.5435248346581704,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.45643,0.25822,0.4533,0.53915,0.49251185450098994,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.52067,0.31519,0.48586,0.60437,0.5386738728520232,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.59438,0.35575,0.53508,0.61264,0.5712393461814977,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.54342,0.32903,0.52534,0.55282,0.5387297966901584,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.5234,0.32066,0.49911,0.49018,0.4946046958925142,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.47819,0.28728,0.4282,0.53596,0.47605806505095,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.50572,0.29924,0.49964,0.55296,0.5249495238452166,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.40019,0.25876,0.42013,0.44441,0.43192905660763886,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.4347,0.27162,0.47851,0.48255,0.4805215085421508,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.55879,0.33937,0.53876,0.6317,0.5815400645894935,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.59579,0.35958,0.572,0.60778,0.5893474376573687,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.60312,0.36841,0.54379,0.62678,0.5823431254853768,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.58206,0.36018,0.54371,0.61151,0.5756204049440145,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.60354,0.37464,0.56641,0.64684,0.6039590264161516,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.59326,0.38085,0.54962,0.64873,0.5950765345678682,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.56123,0.35077,0.55809,0.62447,0.58941696370536,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.60761,0.37125,0.58965,0.60599,0.5977083461572065,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.62292,0.3936,0.55359,0.63543,0.5916934848862158,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.62058,0.38229,0.58957,0.67982,0.6314867415052651,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.62566,0.38233,0.58861,0.64162,0.6139729127068807,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.48552,0.30808,0.44594,0.51185,0.4766272126452807,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.61879,0.38973,0.57137,0.62504,0.5970012032659398,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.66345,0.41792,0.63111,0.68893,0.6587536927663867,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.54166,0.33582,0.54628,0.6005,0.5721082334880516,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.69178,0.42302,0.71693,0.60733,0.657594576442196,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.63092,0.38557,0.62492,0.65143,0.6378996914634404,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.63351,0.38914,0.59493,0.62429,0.6092564913628309,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.6677,0.40958,0.58575,0.69412,0.6353470118053901,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.63129,0.37894,0.61728,0.62627,0.6217425042815957,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.59916,0.37388,0.56197,0.6059,0.583108775805027,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.59217,0.36074,0.56622,0.63321,0.5978442530196861,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.615,0.37676,0.61073,0.62411,0.6173475110940547,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.62388,0.38565,0.60305,0.63973,0.6208487045167923,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.6959,0.42801,0.66653,0.69429,0.6801268554249054,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.69493,0.43525,0.69411,0.68068,0.6873294027446465,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.64527,0.40407,0.64997,0.62691,0.6382317722882038,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.64631,0.41275,0.64489,0.65779,0.6512761278282837,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.63948,0.39859,0.63286,0.61147,0.6219811532305561,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.66381,0.41316,0.64433,0.66338,0.6537162450385378,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.69013,0.40907,0.68977,0.65223,0.6704749435166388,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.66233,0.4031,0.66368,0.6205,0.641364045538288,25985976,79.46169760000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
