model_name,epoch,train_loss_sum,train_loss_box,train_loss_cls,train_loss_dfl,accuracy_mAP50,precision_mean,recall_mean,f1_mean,mAP50,mAP50_95,fitness,params,GFLOPs,data_aug_runner_explicit,data_aug_effective_summary,effective_mosaic,effective_mixup,effective_close_mosaic,effective_copy_paste,effective_cutmix,effective_degrees,effective_translate,effective_scale,effective_shear,effective_fliplr,effective_flipud,effective_hsv_h,effective_hsv_s,effective_hsv_v,effective_erasing,effective_auto_augment
yolov8m,1,6.121851921081543,1.4616081714630127,2.8829920291900635,1.7772517204284668,0.17921,0.74294,0.19394,0.30758642216686494,0.17921,0.09941,0.09941,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,2,5.491997718811035,1.5277512073516846,2.1953258514404297,1.768920660018921,0.18952,0.44923,0.24429,0.3164793998726548,0.18952,0.10732,0.10732,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,3,5.44111168384552,1.537697196006775,2.1476383209228516,1.7557761669158936,0.22614,0.23077,0.29852,0.26030894367877666,0.22614,0.10999,0.10999,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,4,5.310576915740967,1.5120303630828857,2.0619475841522217,1.7365989685058594,0.39077,0.28836,0.48567,0.3618665974182372,0.39077,0.24111,0.24111,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,5,5.14113974571228,1.467805027961731,1.961365818977356,1.7119688987731934,0.30046,0.33655,0.35715,0.34654413290998054,0.30046,0.15819,0.15819,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,6,5.028467893600464,1.4436190128326416,1.9028886556625366,1.6819602251052856,0.41467,0.41191,0.47566,0.4414955678983726,0.41467,0.24508,0.24508,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,7,4.8970805406570435,1.41132390499115,1.8303475379943848,1.6554090976715088,0.50247,0.39874,0.53095,0.4554442943341808,0.50247,0.3099,0.3099,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,8,4.834253549575806,1.4039329290390015,1.7720165252685547,1.6583040952682495,0.39633,0.54681,0.4056,0.4657366806307518,0.39633,0.24206,0.24206,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,9,4.692654013633728,1.3609046936035156,1.7142142057418823,1.61753511428833,0.43905,0.3515,0.53644,0.4247103633123582,0.43905,0.25262,0.25262,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
yolov8m,10,4.6125088930130005,1.355960488319397,1.6533507108688354,1.603197693824768,0.49392,0.49618,0.55645,0.5245895727838608,0.49392,0.28801,0.28801,25902640,79.3204,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15,"effective (Ultralytics args.yaml): mosaic=1.0, mixup=0.15, close_mosaic=10, copy_paste=0.0, cutmix=0.0; geo deg/trans/scale/shear=0.0/0.1/0.5/0.0; fliplr/flipud=0.5/0.0; hsv_h/s/v=0.015/0.7/0.4; erasing=0.4; auto_augment=randaugment",1.0,0.15,10,0.0,0.0,0.0,0.1,0.5,0.0,0.5,0.0,0.015,0.7,0.4,0.4,randaugment
