model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.10221,0.05514,0.08779,0.52128,0.1502722879141145,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,2,0.17383,0.09473,0.15203,0.31391,0.20484928231058755,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,3,0.18016,0.07878,0.60714,0.20792,0.3097601374128165,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,4,0.1734,0.09908,0.19394,0.30792,0.23798670864337074,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,5,0.39698,0.23215,0.36973,0.54978,0.4421271316239713,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,6,0.40636,0.25111,0.3536,0.54322,0.42836375638318913,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,7,0.37888,0.23975,0.26844,0.49844,0.3489495973289838,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,8,0.39956,0.24633,0.35166,0.45504,0.396725837113677,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,9,0.51101,0.31067,0.42011,0.63824,0.5066962845934646,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,10,0.42842,0.26612,0.42979,0.507,0.4652131854519527,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,11,0.45569,0.26811,0.44806,0.4698,0.45867253829510096,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,12,0.55507,0.32001,0.49429,0.60999,0.5460788153361954,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,13,0.50392,0.31836,0.45364,0.54406,0.4947526879818635,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,14,0.48017,0.30249,0.53963,0.56323,0.551177492881643,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,15,0.56616,0.34748,0.58934,0.56911,0.579048361862334,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,16,0.42715,0.27064,0.3806,0.50488,0.43401844875046974,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,17,0.55224,0.35114,0.55602,0.57941,0.5674740815368913,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,18,0.50056,0.31249,0.50669,0.5143,0.5104666392418041,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,19,0.52851,0.3303,0.53125,0.58,0.5545556805394334,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,20,0.58046,0.36065,0.59196,0.59429,0.5931227117381723,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,21,0.58209,0.35738,0.56154,0.62413,0.5911829770504514,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,22,0.50214,0.30326,0.5116,0.4608,0.48487305635491074,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,23,0.5402,0.33259,0.51126,0.58614,0.5461453187529195,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,24,0.55287,0.34528,0.56168,0.55897,0.5603217232850931,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,25,0.56558,0.33471,0.5689,0.58929,0.5789155164518957,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,26,0.61719,0.38266,0.59947,0.61728,0.6082446543656393,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,27,0.51911,0.33062,0.46294,0.58252,0.5158912034888796,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,28,0.47553,0.30283,0.50443,0.51725,0.5107595675744746,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,29,0.65675,0.40396,0.62559,0.64091,0.6331573421234636,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,30,0.58324,0.36477,0.60168,0.61414,0.6078461535419653,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,31,0.60926,0.37918,0.57064,0.65286,0.6089873811192407,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,32,0.64351,0.40079,0.60125,0.67571,0.636309105218146,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,33,0.65777,0.40799,0.65296,0.65615,0.6545511133513191,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,34,0.5994,0.37302,0.56042,0.63823,0.5967994937633196,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,35,0.66252,0.41724,0.64459,0.6389,0.6417323874742757,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,36,0.62312,0.37905,0.59017,0.6672,0.6263254634668981,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,37,0.55468,0.33863,0.56237,0.58308,0.5725377792129097,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,38,0.59819,0.35728,0.55283,0.65937,0.6014181110372864,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,39,0.65918,0.41092,0.60577,0.68227,0.6417482343711052,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,40,0.6596,0.41207,0.6529,0.63064,0.6415769761747654,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,41,0.66184,0.41016,0.62253,0.65264,0.637229513240872,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,42,0.65064,0.39995,0.59693,0.66863,0.6307489267987051,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,43,0.61617,0.37953,0.58173,0.67949,0.6268212012173713,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,44,0.64491,0.39005,0.55961,0.68405,0.6156042977979386,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,45,0.63587,0.39322,0.67256,0.58177,0.623879252189915,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,46,0.65249,0.40014,0.59984,0.66874,0.6324189276193599,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,47,0.65801,0.40098,0.62677,0.66727,0.6463862290186961,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,48,0.65464,0.4034,0.66182,0.62143,0.6409893669973574,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,49,0.62061,0.39142,0.62531,0.62483,0.6250699078498207,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,50,0.61409,0.39896,0.57519,0.63857,0.6052252147042205,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,51,0.61967,0.38128,0.60764,0.65559,0.6307049509585501,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,52,0.65872,0.40856,0.67637,0.62062,0.6472968170913828,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,53,0.65133,0.40211,0.63784,0.62952,0.633652690316379,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,54,0.61158,0.37416,0.59738,0.64766,0.6215047400881727,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,55,0.63837,0.3872,0.61098,0.67102,0.6395940711383465,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,56,0.63187,0.3957,0.62805,0.64571,0.6367575767800553,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,57,0.65153,0.40068,0.64475,0.63499,0.6398327824396832,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,58,0.67819,0.40864,0.6637,0.66301,0.6633548205706874,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,59,0.66947,0.40155,0.66191,0.67446,0.6681260707733125,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,60,0.66608,0.40126,0.66497,0.66084,0.6628985673658646,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,61,0.65565,0.40768,0.63662,0.67918,0.6572116911379714,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,62,0.66126,0.39397,0.65005,0.68875,0.6688406595453623,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,63,0.62769,0.3845,0.65243,0.60211,0.6262608243654039,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,64,0.68097,0.42,0.68123,0.68756,0.6843803633861406,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,65,0.64699,0.39698,0.64128,0.67791,0.6590864466826923,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,66,0.63482,0.38308,0.60585,0.65026,0.6272699381418607,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,67,0.63048,0.39514,0.63112,0.64595,0.6384488931690208,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,68,0.6673,0.40952,0.62885,0.6613,0.6446669069483046,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,69,0.62308,0.38174,0.60873,0.64351,0.6256370061644527,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,70,0.60284,0.36632,0.59344,0.66981,0.629316519136648,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,71,0.62533,0.38363,0.64016,0.63792,0.6390380370550832,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,72,0.65277,0.37922,0.65563,0.6473,0.6514383719765057,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,73,0.64654,0.39135,0.64224,0.6457,0.6439653524227495,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
yolov8m,74,0.64273,0.39082,0.64957,0.64604,0.6478001911063918,25902640,79.3204224,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.2; scale=0.3
