model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.00558,0.00156,0.14838,0.04,0.06301305871078133,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.07509,0.03122,0.17357,0.25079,0.20515421010414472,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.06431,0.02909,0.10371,0.20962,0.1387654562278149,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.23345,0.13283,0.59759,0.26714,0.3692255214918307,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.26768,0.15709,0.51325,0.33292,0.4038696479426074,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.34215,0.19058,0.74377,0.28404,0.41108849067394637,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.35116,0.19994,0.74733,0.28012,0.40749833003999464,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.34671,0.20983,0.64135,0.30857,0.4166695500669355,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.36414,0.1836,0.24288,0.40141,0.3026415458872516,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.40495,0.23948,0.22445,0.52331,0.3141567601900153,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.38345,0.23478,0.34276,0.47286,0.39743383830656753,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.40506,0.24597,0.36796,0.52788,0.43364601893146815,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.41888,0.25248,0.30226,0.58599,0.39880965358806775,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.46077,0.28811,0.35187,0.62939,0.4513858901815509,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.47265,0.29744,0.37534,0.60536,0.46337477801523064,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.44026,0.26322,0.36167,0.54922,0.43613695923718987,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.4669,0.28776,0.35608,0.59512,0.4455641917573112,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.46814,0.27852,0.37392,0.57714,0.4538182423817069,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.47772,0.29265,0.38652,0.6181,0.475618665763696,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.47615,0.29484,0.37334,0.61261,0.4639420201831087,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.4678,0.27683,0.37788,0.58316,0.4585958977769306,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.44035,0.27167,0.32958,0.5881,0.4224261136775102,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.48291,0.30448,0.42109,0.57569,0.48640081482324454,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.45228,0.2918,0.4043,0.58072,0.47671132768829394,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.49073,0.30696,0.42249,0.61558,0.5010767948206757,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.52356,0.32053,0.41943,0.63143,0.504045610071271,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.49456,0.30755,0.42298,0.58062,0.48941938541202723,43226133,98.17374720000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
