model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m_width0.6640,1,0.01255,0.00342,0.00877,0.45436,0.01720785610947853,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,2,0.03888,0.01729,0.20919,0.15519,0.17818868269340196,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,3,0.03727,0.01218,0.02254,0.60509,0.0434610474323352,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,4,0.20705,0.10055,0.45777,0.30305,0.3646781065161738,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,5,0.37458,0.20301,0.3376,0.49411,0.4011290858587716,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,6,0.36562,0.21344,0.31039,0.48828,0.3795240317022306,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,7,0.4061,0.23867,0.37463,0.56675,0.45108575176820087,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,8,0.41257,0.23407,0.32341,0.50321,0.39375564612470815,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,9,0.5134,0.29692,0.39557,0.62,0.4829866971252764,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,10,0.46525,0.28229,0.37471,0.61857,0.4667049869115791,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m_width0.6640,11,0.43071,0.24446,0.35041,0.58067,0.43706786677789555,20884405,65.51581440000001,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
