model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.27991,0.17321,0.66866,0.29078,0.40530508379846025,25902640,79.3204224,runner_kw explicit: 
yolov8m,2,0.15286,0.08332,0.14271,0.21395,0.17121518813387762,25902640,79.3204224,runner_kw explicit: 
yolov8m,3,0.21239,0.11507,0.41006,0.20335,0.2718759100760146,25902640,79.3204224,runner_kw explicit: 
yolov8m,4,0.21389,0.11055,0.17254,0.33185,0.22703621800545798,25902640,79.3204224,runner_kw explicit: 
yolov8m,5,0.35427,0.19962,0.30509,0.46634,0.3688621666251392,25902640,79.3204224,runner_kw explicit: 
yolov8m,6,0.30408,0.16325,0.33202,0.34556,0.3386547159002056,25902640,79.3204224,runner_kw explicit: 
yolov8m,7,0.41731,0.22757,0.39414,0.53095,0.45242869990978996,25902640,79.3204224,runner_kw explicit: 
yolov8m,8,0.47324,0.29461,0.49977,0.49776,0.49876297494762184,25902640,79.3204224,runner_kw explicit: 
yolov8m,9,0.38229,0.20297,0.3477,0.45722,0.39500917855141504,25902640,79.3204224,runner_kw explicit: 
yolov8m,10,0.51594,0.31342,0.48951,0.56845,0.5260349342125165,25902640,79.3204224,runner_kw explicit: 
yolov8m,11,0.23977,0.14613,0.27514,0.29269,0.28364378986618594,25902640,79.3204224,runner_kw explicit: 
yolov8m,12,0.51956,0.31438,0.51111,0.51986,0.5154478687056698,25902640,79.3204224,runner_kw explicit: 
yolov8m,13,0.54642,0.3469,0.5119,0.6012,0.5529678914737642,25902640,79.3204224,runner_kw explicit: 
yolov8m,14,0.41027,0.2509,0.44262,0.4489,0.44573788137064146,25902640,79.3204224,runner_kw explicit: 
yolov8m,15,0.54285,0.33982,0.50183,0.60465,0.5484627096734253,25902640,79.3204224,runner_kw explicit: 
yolov8m,16,0.50746,0.30972,0.52054,0.54265,0.531365101251393,25902640,79.3204224,runner_kw explicit: 
yolov8m,17,0.50416,0.30756,0.53515,0.54879,0.5418841790130986,25902640,79.3204224,runner_kw explicit: 
yolov8m,18,0.54792,0.32663,0.57514,0.57222,0.5736762843392015,25902640,79.3204224,runner_kw explicit: 
yolov8m,19,0.55835,0.34157,0.56076,0.5513,0.5559897631417765,25902640,79.3204224,runner_kw explicit: 
yolov8m,20,0.61747,0.37955,0.56655,0.65873,0.6091725670862095,25902640,79.3204224,runner_kw explicit: 
yolov8m,21,0.59288,0.3668,0.5892,0.61977,0.6040985036844553,25902640,79.3204224,runner_kw explicit: 
yolov8m,22,0.62983,0.39227,0.5906,0.63136,0.6103001996787044,25902640,79.3204224,runner_kw explicit: 
yolov8m,23,0.60562,0.37535,0.6126,0.61827,0.6154219405781152,25902640,79.3204224,runner_kw explicit: 
yolov8m,24,0.58691,0.35189,0.60966,0.59323,0.6013327931892347,25902640,79.3204224,runner_kw explicit: 
yolov8m,25,0.55685,0.32148,0.54051,0.58919,0.5638011629631196,25902640,79.3204224,runner_kw explicit: 
yolov8m,26,0.48669,0.31617,0.50865,0.51405,0.51133574361933,25902640,79.3204224,runner_kw explicit: 
yolov8m,27,0.58305,0.35658,0.54692,0.64834,0.593327163629174,25902640,79.3204224,runner_kw explicit: 
yolov8m,28,0.55258,0.34484,0.53746,0.56571,0.5512232867096176,25902640,79.3204224,runner_kw explicit: 
yolov8m,29,0.55506,0.35031,0.55625,0.57978,0.5677713176583649,25902640,79.3204224,runner_kw explicit: 
yolov8m,30,0.58868,0.35218,0.59077,0.63698,0.613005375035135,25902640,79.3204224,runner_kw explicit: 
yolov8m,31,0.63462,0.39908,0.62636,0.62149,0.6239154968941587,25902640,79.3204224,runner_kw explicit: 
yolov8m,32,0.59969,0.38157,0.58837,0.61366,0.6007489566811137,25902640,79.3204224,runner_kw explicit: 
yolov8m,33,0.5951,0.36432,0.62138,0.57832,0.5990772386424947,25902640,79.3204224,runner_kw explicit: 
yolov8m,34,0.56595,0.34429,0.57684,0.6139,0.5947932814883226,25902640,79.3204224,runner_kw explicit: 
yolov8m,35,0.62534,0.38415,0.59434,0.63222,0.6126950737015615,25902640,79.3204224,runner_kw explicit: 
yolov8m,36,0.63812,0.39565,0.62686,0.65725,0.6416953921388029,25902640,79.3204224,runner_kw explicit: 
yolov8m,37,0.66049,0.41662,0.65313,0.67772,0.66519782635108,25902640,79.3204224,runner_kw explicit: 
yolov8m,38,0.62796,0.39519,0.63045,0.64704,0.6386372777864103,25902640,79.3204224,runner_kw explicit: 
yolov8m,39,0.58401,0.36332,0.61448,0.62528,0.6198329586366556,25902640,79.3204224,runner_kw explicit: 
yolov8m,40,0.58837,0.35719,0.64444,0.59497,0.6187177234324246,25902640,79.3204224,runner_kw explicit: 
