model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.01126,0.00311,0.00303,0.34857,0.0060077764504948596,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.01225,0.00426,0.02535,0.07576,0.03798864602870153,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.03784,0.01773,0.04885,0.20013,0.07853121134196107,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.34062,0.14639,0.45735,0.372,0.4102832338573457,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.36222,0.19505,0.30415,0.44649,0.3618243991788849,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.34154,0.20018,0.94046,0.24365,0.387030054639867,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.41158,0.24616,0.32865,0.47495,0.3884826219507361,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.44343,0.26515,0.40046,0.57014,0.47046829672319135,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.39286,0.2146,0.24937,0.49857,0.3324555469685637,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.46428,0.28481,0.36845,0.5442,0.4394028159749747,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.45154,0.27421,0.33999,0.61053,0.43675902600635785,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.39554,0.24444,0.30024,0.49342,0.3733196099080547,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.49948,0.30555,0.4264,0.59256,0.4959322917479627,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.48814,0.29748,0.35327,0.56985,0.4361532834296341,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.53862,0.32747,0.4527,0.62301,0.5243729759874647,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.4228,0.25873,0.32012,0.52714,0.39833830654061525,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.52799,0.32777,0.43869,0.62292,0.5148195190319281,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.44495,0.26865,0.36842,0.53536,0.4364719980521405,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.49949,0.29758,0.41698,0.55938,0.4777956335772894,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.48911,0.30443,0.39511,0.56571,0.46526441601916574,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.44385,0.25892,0.38328,0.55793,0.4544010590617881,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.49151,0.29707,0.39777,0.56,0.4651454942204652,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.49335,0.2991,0.47448,0.57977,0.5218672413559194,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.50532,0.30907,0.45755,0.56714,0.506484706593695,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.5686,0.36422,0.49462,0.57713,0.5326989327730043,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.56236,0.34982,0.51979,0.63932,0.573391900336833,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.52541,0.3347,0.45654,0.57551,0.5091678414800551,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.49662,0.31286,0.39795,0.60332,0.4795733298705848,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.48292,0.30111,0.44542,0.51,0.47552741202772025,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.5591,0.36142,0.44596,0.58925,0.5076881598897733,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.55451,0.34874,0.53209,0.61427,0.5702343492440678,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.58616,0.35914,0.55293,0.60857,0.5794173225995871,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.57262,0.35549,0.52535,0.64059,0.5772749138029596,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.6091,0.38627,0.56869,0.61899,0.5927748603996087,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.53702,0.35033,0.49709,0.59431,0.5413699063583091,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.55381,0.34174,0.49843,0.63569,0.5587538650226088,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.58169,0.35842,0.53967,0.61491,0.5748384342353281,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.58141,0.35453,0.56041,0.65111,0.6023648888993971,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.61523,0.39467,0.57411,0.67642,0.6210798400673146,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.53213,0.32371,0.46909,0.58293,0.5198506372497482,20923178,65.7371648,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
