model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.0088,0.00222,0.00132,0.27143,0.002627223464701642,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.01999,0.0052,0.31498,0.1,0.15180490626017687,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.10796,0.03571,0.26236,0.16494,0.2025446215768721,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.22208,0.12281,0.30116,0.2712,0.2853958767204462,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.36033,0.18808,0.33244,0.43143,0.375520937331777,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.44112,0.26234,0.31913,0.54118,0.40149893270983544,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.41086,0.25595,0.35184,0.45569,0.39708733941723884,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.46722,0.23907,0.43817,0.57294,0.49657331012402545,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.4946,0.27385,0.45685,0.60857,0.5219072375208632,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.43795,0.27109,0.34075,0.54,0.4178370706779247,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.4607,0.27362,0.31819,0.57104,0.4086664138632202,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.4497,0.27367,0.33964,0.54571,0.4186930465912705,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.44643,0.27965,0.42226,0.52376,0.46756495126903497,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.41712,0.24902,0.28799,0.51808,0.3701957874621681,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.54094,0.32886,0.48401,0.6267,0.5461894950072059,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.48222,0.29338,0.43074,0.57129,0.4911578587462539,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.49606,0.30133,0.38442,0.61137,0.4720329696015505,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.43448,0.27784,0.28574,0.50251,0.3643189531235467,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.56133,0.34124,0.50218,0.63142,0.5594327727588572,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.47169,0.29839,0.36764,0.5175,0.4298838601798248,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.42484,0.25168,0.33648,0.5507,0.41772703622667584,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.48986,0.27274,0.43021,0.64733,0.5168955942234006,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.48965,0.28903,0.48567,0.58691,0.5315120171916952,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.49774,0.31708,0.36329,0.58286,0.44759754668874113,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.59166,0.37497,0.51487,0.6337,0.5681379785293295,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.50874,0.32149,0.44692,0.57096,0.5013821731436895,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.55255,0.35306,0.48718,0.58172,0.5302691544573578,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.52748,0.33417,0.40349,0.63575,0.49366607809505636,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.51623,0.30986,0.45358,0.57399,0.5067302163351337,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.55452,0.34748,0.44999,0.59571,0.5126968402022447,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.53456,0.33267,0.46093,0.62113,0.5291711197156079,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.59718,0.34956,0.54325,0.66678,0.5987095113339348,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.51576,0.32798,0.42064,0.57,0.48406040539400386,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.57598,0.36736,0.50902,0.65808,0.5740311568840939,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.58089,0.37362,0.55462,0.61357,0.582607612459803,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.57504,0.35883,0.50668,0.65587,0.5717022263123549,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.61425,0.38941,0.60099,0.57569,0.5880680101636909,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.59687,0.37919,0.55909,0.63458,0.5944479331803644,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.65469,0.42139,0.61205,0.65675,0.6336126063992483,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.58548,0.37186,0.52972,0.55613,0.542603828520935,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.63241,0.40379,0.56152,0.63642,0.5966284762170087,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.60425,0.37871,0.5407,0.63015,0.5820081223038116,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.62704,0.3992,0.54741,0.63601,0.5883933584014226,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.59915,0.3806,0.52393,0.62,0.5679309048625631,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.57738,0.3597,0.52345,0.63429,0.573564186258941,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.6079,0.38331,0.59523,0.63496,0.6144534434513251,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.61468,0.38706,0.64114,0.61286,0.6266811170648909,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.60099,0.39046,0.49255,0.63017,0.5529254551441563,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.60947,0.37816,0.60003,0.61817,0.6089649402391979,20989096,65.8444432,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
