model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.01274,0.00363,0.00109,0.33714,0.00217297460307432,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.00379,0.00094,0.00963,0.04459,0.01583923644382443,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.15767,0.07579,0.25509,0.31414,0.2815521760970407,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.02709,0.01045,0.12506,0.03162,0.050477370436236416,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.38344,0.2023,0.36476,0.43839,0.3981999287799312,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.41086,0.24176,0.27814,0.58571,0.37717052590105093,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.45939,0.27388,0.31989,0.51607,0.3949606017029583,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.42132,0.24215,0.39244,0.52006,0.4473256907392358,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.4922,0.28835,0.40044,0.56142,0.4674589333162129,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.42952,0.27023,0.39385,0.48478,0.4346097970699445,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.43257,0.24929,0.30018,0.54245,0.3864866928540564,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.36126,0.2271,0.26197,0.47416,0.3374830402234151,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.48266,0.29344,0.39758,0.526,0.45286186361717135,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.48819,0.31127,0.37366,0.62977,0.4690309402743898,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.5247,0.31272,0.44425,0.61295,0.5151400633744655,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.51811,0.3028,0.43371,0.59578,0.5019878654474526,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.50582,0.30864,0.38541,0.61482,0.4738065768868422,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.46737,0.2985,0.38148,0.51143,0.436998838404277,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.47761,0.30109,0.39881,0.58964,0.47580419525471623,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.46474,0.30131,0.35493,0.55128,0.4318332624883506,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.45182,0.25927,0.37595,0.59167,0.4597638256748933,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.51381,0.31026,0.4678,0.57911,0.5175376259654435,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.49689,0.30781,0.43342,0.60488,0.50499294924347,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.54033,0.34195,0.46749,0.63,0.5367132274548864,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.55787,0.35613,0.5313,0.62897,0.5760241340372705,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.52115,0.32855,0.42451,0.60297,0.4982419019343459,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.53157,0.34425,0.48215,0.58847,0.5300308428755954,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.54579,0.34346,0.48482,0.64642,0.554077551005486,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.47485,0.28832,0.36942,0.52801,0.43470232597480063,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.52519,0.32679,0.48167,0.62411,0.5437158633719693,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.53836,0.33394,0.44799,0.63794,0.5263520495791383,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.59074,0.37137,0.48741,0.65,0.5570840769814253,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.53855,0.33042,0.51612,0.63753,0.5704364124296186,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.60315,0.37285,0.53842,0.66424,0.5947484755453788,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.57001,0.36234,0.56324,0.62789,0.5938105221087591,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.56776,0.3514,0.52432,0.60673,0.5625227418765195,20923188,65.7431296,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
