model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.00332,0.00076,0.00061,0.20714,0.001216417809861774,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.01466,0.00489,0.01595,0.20152,0.029560343955352182,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.05561,0.02607,0.07382,0.12592,0.09307514168372347,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.05641,0.01893,0.37392,0.12599,0.18847464863637758,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.4123,0.22052,0.31257,0.48857,0.3812375487425653,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.36106,0.20765,0.70352,0.30449,0.4250251580833274,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.34759,0.20018,0.26753,0.42499,0.3283589634951649,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.39107,0.2302,0.37765,0.51902,0.43719072345407206,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.43925,0.24894,0.29194,0.60293,0.3933965474310309,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.44088,0.26843,0.39304,0.53502,0.4531695381759227,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.39015,0.24169,0.30238,0.50286,0.37766332223886334,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.36304,0.21967,0.25522,0.48494,0.3344314386074168,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.50193,0.31462,0.45987,0.55701,0.5038002295251123,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.40951,0.2576,0.26902,0.53286,0.35753478625186125,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.51613,0.31161,0.44802,0.61571,0.518647390220715,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.49197,0.29321,0.42869,0.60143,0.5005766836868514,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.48731,0.29037,0.35802,0.57262,0.44057726381797413,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.45423,0.26479,0.33492,0.54714,0.41550037140283486,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.4905,0.2948,0.39935,0.58332,0.474114081023666,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.47964,0.29867,0.42425,0.59082,0.49386817657846854,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.49399,0.28224,0.44613,0.60526,0.5136526765515045,20960492,66.6937344,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
